symbol,sector,day_001,day_002,day_003,day_004,day_005,day_006,day_007,day_008,day_009,day_010,day_011,day_012,day_013,day_014,day_015,day_016,day_017,day_018,day_019,day_020,day_021,day_022,day_023,day_024,day_025,day_026,day_027,day_028,day_029,day_030,day_031,day_032,day_033,day_034,day_035,day_036,day_037,day_038,day_039,day_040,day_041,day_042,day_043,day_044,day_045,day_046,day_047,day_048,day_049,day_050,day_051,day_052,day_053,day_054,day_055,day_056,day_057,day_058,day_059,day_060,day_061,day_062
A,Health Care,150.039993,151.669998,152.110001,147.669998,147.470001,155.229996,158.169998,156.490005,156.919998,155.399994,154.070007,152.869995,155.919998,159.059998,155.690002,155.759995,156.229996,155.690002,151.740005,152.080002,155.449997,155.5,154.550003,152.240005,154.509995,154.419998,152.380005,152.550003,154.600006,153.039993,151.75,148.279999,148.259995,143.419998,142.080002,143.199997,141.199997,142.179993,141.970001,137.509995,141.669998,143.929993,143.229996,140.330002,140.899994,138.929993,135.720001,136.690002,138.399994,134.029999,136.820007,133.179993,134.539993,137.009995,133.729996,131.130005,131.960007,133.070007,132.630005,133.850006,134.490005,138.339996
AAL,Industrials,12.74,13.59,13.99,14.18,14.61,15.19,15.34,16.83,17.02,17.08,16.639999,16.280001,16.34,16.17,16.02,16.26,16.610001,16.43,15.96,16.139999,16.690001,17.059999,17.02,16.92,16.959999,16.969999,16.66,16.280001,16.51,16.790001,16.799999,16.389999,16.360001,15.69,15.56,15.87,15.56,15.63,15.98,16.030001,16.120001,16.360001,16.120001,16.360001,16.59,15.88,15.46,14.85,14.66,13.86,14.12,13.98,13.96,14.37,13.82,13.63,13.72,13.94,13.98,14.35,14.47,14.75
AAP,Consumer Discretionary,151.539993,151.889999,153.160004,154.020004,152.259995,151.970001,153.279999,152.190002,151.029999,149.210007,146.979996,143.270004,147.490005,148.619995,147.270004,149.110001,147.619995,147.440002,149.880005,152.279999,156.839996,155.240005,152.169998,151.669998,151.470001,148.820007,151.910004,151.800003,152.190002,150.759995,151.289993,150.190002,149.990005,144.190002,143.619995,142.009995,138.850006,140.630005,144.960007,138.820007,139.210007,138.479996,135.130005,133.690002,132.210007,129.830002,128.039993,124.360001,121.699997,121.769997,122.029999,119.400002,118.68,119.790001,113.599998,111.139999,110.830002,114.739998,115.739998,117.550003,118.610001,121.610001
AAPL,Information Technology,125.07,126.360001,125.019997,129.619995,130.149994,130.729996,133.490005,133.410004,134.759995,135.940002,135.210007,135.270004,137.869995,141.110001,142.529999,141.860001,143.960007,145.929993,143,144.289993,145.429993,150.820007,154.5,151.729996,154.649994,151.919998,150.869995,151.009995,153.850006,153.199997,155.330002,153.710007,152.550003,148.479996,148.910004,149.399994,146.710007,147.919998,147.410004,145.309998,145.910004,151.029999,153.830002,151.600006,152.869995,150.589996,148.5,150.470001,152.589996,152.990005,155.850006,155,157.399994,159.279999,157.830002,158.929993,160.25,158.279999,157.649994,160.770004,162.360001,164.899994
ABBV,Health Care,162.380005,163.690002,163.490005,166.550003,161.660004,159.639999,157.169998,152.220001,153.600006,152.830002,149.199997,148.710007,149.589996,148.550003,147.690002,147.789993,147.399994,146.279999,145.649994,147.75,146.600006,144.839996,145.199997,145.020004,145.139999,144.610001,148.699997,152.050003,153.729996,152.589996,151.059998,149.529999,151.309998,152,150.669998,152.070007,152.710007,154.279999,153.899994,155.270004,154.380005,156.059998,155.279999,152.929993,149.600006,147.350006,149.710007,151.949997,153.850006,154.059998,155.300003,154.220001,156.119995,156.770004,153.669998,155.300003,158.020004,157.539993,158.25,158,157.919998,159.369995
ABC,Health Care,164.289993,162.869995,163.080002,165.710007,164.970001,167.259995,165.389999,164.899994,164.279999,164.160004,162.949997,162.940002,162.210007,161.720001,161.429993,163.460007,164.910004,164.160004,165.309998,168.960007,161.050003,158.470001,156.729996,154.490005,156.789993,157.850006,155.020004,159.029999,158.610001,157.360001,158.809998,160.470001,161.490005,160.839996,160.130005,159.5,158.570007,156.630005,155.559998,156.509995,154.899994,156.149994,156.460007,153.210007,151.860001,150,149.600006,148.369995,149.289993,149.610001,152.050003,152.020004,153.860001,156.039993,153.440002,150.929993,156.410004,156.690002,158,158.970001,159.339996,160.110001
ABT,Health Care,109.580002,111.209999,110.800003,112.330002,112.150002,113.849998,113.150002,111.360001,113.510002,113.389999,111.510002,111.800003,112.82,114.010002,112.529999,111,111.07,109.949997,109.809998,110.550003,111.82,112.25,111.790001,110.75,111.989998,110.199997,108.07,108.160004,108.519997,107.260002,107.279999,106.080002,106.739998,103.650002,102.690002,102.550003,100.459999,99.769997,101.720001,100.830002,102.629997,104.449997,102.75,99.980003,99.400002,97.849998,96.959999,98.190002,98.550003,97.800003,99.029999,97.010002,97.870003,98.330002,96.860001,97.040001,98.050003,98.459999,97.110001,98.620003,99.080002,101.260002
ACGL,Financials,62.459999,62.77,62.939999,63.900002,62.669998,63.07,62.849998,63.07,63.759998,64,63.52,63.389999,62.459999,63.130001,64.040001,64.800003,64.75,64.059998,63.990002,64.349998,64.18,61.349998,61.259998,62.16,63.369999,64.169998,64.099998,64.220001,65.25,66.279999,67.980003,67.099998,67.809998,67.550003,67.940002,68.379997,69.169998,69.209999,70,70.970001,70.900002,71.300003,71.699997,70.989998,70.290001,68.379997,66.610001,65.18,67.339996,62.740002,66.07,63.150002,65.610001,67.209999,65.870003,65.599998,66.050003,66.379997,66.809998,67.800003,67.860001,67.870003
ACN,Information Technology,270.26001,269.339996,262.980011,269.209991,273.75,274.929993,281.079987,283.839996,282.140015,284.880005,277.899994,272.890015,280.470001,279.339996,274.869995,273.160004,274.26001,277.269989,274.320007,279.049988,283.600006,294.100006,289.220001,284.480011,287.820007,284.709991,285.160004,283.959991,288.350006,284.769989,287.649994,281.220001,277.049988,269.149994,269.630005,271.230011,266.529999,266.25,265.549988,263.589996,265.26001,269.200012,269.630005,264.200012,263.660004,259.76001,252.949997,251.309998,252.479996,246.169998,252.919998,250,252.550003,257.619995,253.270004,271.660004,272,273.959991,275,279.940002,282.660004,285.809998
ADBE,Information Technology,336.920013,341.410004,328.440002,332.75,341.980011,338.700012,342.929993,344.540009,344.380005,344.380005,341.309998,342.529999,356.380005,364.980011,361.320007,358.170013,365.820007,370.709991,363.420013,370.339996,383.920013,392.230011,379.329987,375.230011,383.820007,378.359985,375.809998,370.98999,375,377.899994,375.940002,365.160004,356.850006,346.700012,348.720001,347.019989,320.540009,322.320007,323.950012,323.380005,333.5,344.040009,347.019989,344.799988,345.839996,338.369995,329.299988,324.269989,333.329987,333.609985,353.290009,358.140015,362.880005,374.220001,361.709991,369,374.959991,373.149994,373.399994,379.160004,381.899994,385.369995
